,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Volume20DayAvg,RSI,MACD,BollingerHigh,BollingerLow,ADLine,OBV,ROC12,Volatility,Volatility50DayAvg,Score,Momentum Category,MA20_Score,date
0,140.515625,141.9375,139.0,141.9375,91.62264251708984,9942500,,,,,,,,-330656969.2928233,9942500,,0.0,,1.0,Low Momentum,,2000-01-25
1,141.0,141.546875,140.09375,140.8125,90.89643859863281,5158100,,,,,,,,-685082547.2309114,4784400,,0.0,,1.0,Low Momentum,,2000-01-26
2,141.84375,142.21875,138.125,140.25,90.53329467773438,10922700,,,,,,,,-949967956.1034663,-6138300,,0.0,,1.0,Low Momentum,,2000-01-27
3,139.4375,140.0625,135.53125,135.875,87.7092056274414,11916200,,,,,,,,-1213407265.687922,-18054500,,0.0,,1.0,Low Momentum,,2000-01-28
4,135.8125,139.671875,135.0,139.5625,90.08955383300781,10768700,,,,,,,,-1431213663.245536,-7285800,,0.0,,2.0,Low Momentum,,2000-01-31
5,139.75,141.6875,138.53125,140.9375,90.97711181640625,8419900,,,,,,,,-1693353064.61079,1134100,,0.0,,2.0,Low Momentum,,2000-02-01
6,141.28125,142.25,140.375,141.0625,91.05783081054688,6205900,,,,,,,,-2026020212.901805,7340000,,0.0,,2.0,Low Momentum,,2000-02-02
7,140.875,143.25,140.0,143.1875,92.4295425415039,7997500,,,,,,,,-2268137548.916773,15337500,,0.0,,2.0,Low Momentum,,2000-02-03
8,143.1875,144.0,142.125,142.59375,92.04621124267578,4925400,,,,,,,,-2536164886.138453,10412100,,0.0,,1.0,Low Momentum,,2000-02-04
9,142.5625,142.78125,141.4375,142.375,91.9050521850586,5845800,,,,,,,,-2972978921.951043,4566300,,0.0,,1.0,Low Momentum,,2000-02-07
10,143.96875,144.5625,143.625,144.3125,93.15574645996094,4936400,,,,,,,,-3509406358.057814,9502700,,0.0,,2.0,Low Momentum,,2000-02-08
11,144.46875,144.46875,141.265625,141.28125,91.198974609375,8511500,,,,,,,,-3783996949.445009,991200,,0.0,,1.0,Low Momentum,,2000-02-09
12,141.625,142.5625,140.875,141.5625,91.38056182861328,6690600,,,,,,,,-4183158646.368837,7681800,-0.2642149165599634,0.0,,2.0,Low Momentum,,2000-02-10
13,141.84375,141.9375,138.03125,138.6875,89.52471923828125,9849800,,,,39.98663588861813,,,,-4437631615.237587,-2168000,-1.509101326190127,47.78109523228237,,1.0,Low Momentum,,2000-02-11
14,139.78125,139.78125,138.3125,139.5,90.0491943359375,8528800,,,,43.34531655386783,,,,-5006675249.413118,6360800,-0.5347207825807029,47.95791205581354,,2.0,Low Momentum,,2000-02-14
15,139.25,141.21875,137.796875,141.078125,91.06788635253906,11078300,,,,49.2825101017076,,,,-5320323196.132047,17439100,3.829336614179564,48.18731517068846,,3.0,Low Momentum,,2000-02-15
16,140.375,140.9375,138.796875,139.0,89.72640991210938,8845400,,,,42.9059335749229,,,,-5734702392.932914,8593700,-0.4030921515845998,48.30747934760078,,1.0,Low Momentum,,2000-02-16
17,140.4375,140.4375,138.21875,138.28125,89.26248931884766,7584200,,,,40.93342835384555,,,,-6076974207.362657,1009500,-1.884674577292296,48.47916582905005,,1.0,Low Momentum,,2000-02-17
